iter	Passed	Remaining
0	34	3453
1	72	3555
2	115	3743
3	155	3729
4	195	3719
5	215	3383
6	258	3440
7	304	3505
8	348	3527
9	367	3305
10	396	3211
11	440	3229
12	485	3251
13	512	3148
14	555	3146
15	594	3120
16	635	3100
17	664	3025
18	703	2999
19	749	2999
20	782	2943
21	828	2937
22	876	2933
23	926	2934
24	970	2911
25	1018	2898
26	1046	2830
27	1095	2816
28	1128	2762
29	1187	2769
30	1219	2713
31	1245	2647
32	1284	2607
33	1325	2572
34	1364	2533
35	1395	2481
36	1450	2470
37	1491	2432
38	1533	2398
39	1580	2370
40	1627	2341
41	1672	2310
42	1723	2285
43	1771	2254
44	1812	2215
45	1876	2203
46	1907	2151
47	1944	2106
48	1977	2057
49	2007	2007
50	2032	1953
51	2060	1902
52	2089	1853
53	2117	1803
54	2143	1754
55	2173	1708
56	2201	1661
57	2225	1611
58	2251	1564
59	2275	1517
60	2302	1472
61	2328	1427
62	2355	1383
63	2364	1329
64	2393	1288
65	2420	1246
66	2455	1209
67	2483	1168
68	2510	1128
69	2536	1086
70	2560	1045
71	2585	1005
72	2612	966
73	2646	929
74	2671	890
75	2696	851
76	2726	814
77	2752	776
78	2776	738
79	2803	700
80	2832	664
81	2858	627
82	2884	590
83	2911	554
84	2938	518
85	2971	483
86	2999	448
87	3025	412
88	3050	377
89	3078	342
90	3105	307
91	3134	272
92	3159	237
93	3184	203
94	3209	168
95	3239	134
96	3263	100
97	3288	67
98	3314	33
99	3345	0
